keyword,definition,merged
ATMOSPHERIC/OCEAN INDICATORS,Information about the atmosphere's and ocean's state and health,"Label: ATMOSPHERIC/OCEAN INDICATORS
Definition: Information about the atmosphere's and ocean's state and health"
REGIONAL CLIMATE LEVELS,Refers to several levels of regional climates that are used to describe the immutable characteristics of an area.,"Label: REGIONAL CLIMATE LEVELS
Definition: Refers to several levels of regional climates that are used to describe the immutable characteristics of an area."
CARBON FLUX,"Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes","Label: CARBON FLUX
Definition: Carbon flux refers to the direction and rate of transfer, or flows, of carbon between Earth’s carbon pools such as the oceans, atmosphere,land, other living things. Carbon fluxes can be natural exchanges, such as land-atmosphere and ocean-atmosphere fluxes, or anthropogenic exchanges, such as urban carbon fluxes"
ENVIRONMENTAL VULNERABILITY INDEX (EVI),"The Environmental Vulnerability Index. 		 A vulnerability index for the natural environment, the basis of all human welfare, has been developed by the South Pacific Applied Geoscience Commission (SOPAC), the United Nations Environment Programme (UNEP) and their partners. The index was developed through consultation and collaboration with countries, institutions and experts across the globe. This index is designed to be used with economic and social vulnerability indices to provide insights into the processes that can negatively influence the sustainable development of countries.The reason for using indices for this purpose is to provide a rapid and standardised method for characterising vulnerability in an overall sense, and identifying issues that may need to be addressed within each of the three pillars of sustainability, namely environmental, economic and social aspects of a country’s development. Development is often achieved through trade-offs between these pillars. Therefore, in order to promote sustainability, it has become increasingly important to be able to measure how vulnerable each aspect is to damage and to identify ways of building resilience. With this information to hand, the outcome for countries could be optimised for their unique situations and development goals.","Label: ENVIRONMENTAL VULNERABILITY INDEX (EVI)
Definition: The Environmental Vulnerability Index. 		 A vulnerability index for the natural environment, the basis of all human welfare, has been developed by the South Pacific Applied Geoscience Commission (SOPAC), the United Nations Environment Programme (UNEP) and their partners. The index was developed through consultation and collaboration with countries, institutions and experts across the globe. This index is designed to be used with economic and social vulnerability indices to provide insights into the processes that can negatively influence the sustainable development of countries.The reason for using indices for this purpose is to provide a rapid and standardised method for characterising vulnerability in an overall sense, and identifying issues that may need to be addressed within each of the three pillars of sustainability, namely environmental, economic and social aspects of a country’s development. Development is often achieved through trade-offs between these pillars. Therefore, in order to promote sustainability, it has become increasingly important to be able to measure how vulnerable each aspect is to damage and to identify ways of building resilience. With this information to hand, the outcome for countries could be optimised for their unique situations and development goals."
SUN-EARTH INTERACTIONS,Sun-Earth Interactions: The effects of the sun's variability are evident in a variety of physical and chemical processes in the upper layers of the earth's atmosphere.,"Label: SUN-EARTH INTERACTIONS
Definition: Sun-Earth Interactions: The effects of the sun's variability are evident in a variety of physical and chemical processes in the upper layers of the earth's atmosphere."
MODEL LOGS,Model configurations / inputs / outputs / logs for ancillary models,"Label: MODEL LOGS
Definition: Model configurations / inputs / outputs / logs for ancillary models"
SPECIES DISTRIBUTION,Species distributions are typically represented by records of their observed occurrence at a given spatial and temporal scale,"Label: SPECIES DISTRIBUTION
Definition: Species distributions are typically represented by records of their observed occurrence at a given spatial and temporal scale"
DATA APPLICATION SERVICES,"Services that are designed to support Clients, especially thin client software such as web browsers. That is, these Application Services are designed for use by clients instead of each client directly performing these often-needed support functions. The services in the Application Services tier are used by Clients, and can use other services in the Application Services, Processing Services, and Information Management Services tiers.","Label: DATA APPLICATION SERVICES
Definition: Services that are designed to support Clients, especially thin client software such as web browsers. That is, these Application Services are designed for use by clients instead of each client directly performing these often-needed support functions. The services in the Application Services tier are used by Clients, and can use other services in the Application Services, Processing Services, and Information Management Services tiers."
GEOGRAPHIC DATA MANAGEMENT SERVICES,"Services that allow a user to manage geospatial data input and retirement,interacting with Information Management Services.","Label: GEOGRAPHIC DATA MANAGEMENT SERVICES
Definition: Services that allow a user to manage geospatial data input and retirement,interacting with Information Management Services."
COVERAGE GENERALIZATION SERVICES,Services that allow a user to interact with Processing services for coveragegeneralization.,"Label: COVERAGE GENERALIZATION SERVICES
Definition: Services that allow a user to interact with Processing services for coveragegeneralization."
CHAIN DEFINITION SERVICES,Services to define a service chain and enable it to be executed by the workflow enactment service; may also provide a chain validation service. This is also known as Web Service Chaining.,"Label: CHAIN DEFINITION SERVICES
Definition: Services to define a service chain and enable it to be executed by the workflow enactment service; may also provide a chain validation service. This is also known as Web Service Chaining."
GEOGRAPHIC DATA EXTRACTION SERVICES,"Services that allow a user to extract and edit feature data, interacting withimages and feature data.","Label: GEOGRAPHIC DATA EXTRACTION SERVICES
Definition: Services that allow a user to extract and edit feature data, interacting withimages and feature data."
WEB PORTAL SERVICES,Services that allow a user to interact with multiple application services fordifferent data types and purposes.,"Label: WEB PORTAL SERVICES
Definition: Services that allow a user to interact with multiple application services fordifferent data types and purposes."
GAZETTEER APPLICATION SERVICES,Services that allow a user to interact with a Gazetteer service.,"Label: GAZETTEER APPLICATION SERVICES
Definition: Services that allow a user to interact with a Gazetteer service."
STRATOSPHERIC TEMPERATURE ANOMALIES,"Refers to temperature anomalies in the stratosphere. A temperature anomaly means a departure from a reference value or long-term average. A positive anomaly indicates that the observed temperature was warmer than the reference value, while a negative anomaly indicates that the observed temperature was cooler than the reference value.","Label: STRATOSPHERIC TEMPERATURE ANOMALIES
Definition: Refers to temperature anomalies in the stratosphere. A temperature anomaly means a departure from a reference value or long-term average. A positive anomaly indicates that the observed temperature was warmer than the reference value, while a negative anomaly indicates that the observed temperature was cooler than the reference value."
TEMPERATURE INDICATORS,Refers to set of parameters that describe changing temperature over time.,"Label: TEMPERATURE INDICATORS
Definition: Refers to set of parameters that describe changing temperature over time."
GLACIAL STRIATION,"Scratches or gouges cut into bedrock by glacial abrasion. Glacial striations are usually multiple, straight, and parallel, representing the movement of the glacier using rock fragments and sand grains, embedded in the base of the glacier, as cutting tools. Large amounts of coarse gravel and boulders carried along underneath the glacier provide the abrasive power to cut trough-like glacial grooves, and finer sediments also in the base of the moving glacier further scour and polish the bedrock surface, forming a glacial pavement.","Label: GLACIAL STRIATION
Definition: Scratches or gouges cut into bedrock by glacial abrasion. Glacial striations are usually multiple, straight, and parallel, representing the movement of the glacier using rock fragments and sand grains, embedded in the base of the glacier, as cutting tools. Large amounts of coarse gravel and boulders carried along underneath the glacier provide the abrasive power to cut trough-like glacial grooves, and finer sediments also in the base of the moving glacier further scour and polish the bedrock surface, forming a glacial pavement."
GLACIAL STRIATION,"Scratches or gouges cut into bedrock by glacial abrasion. Glacial striations are usually multiple, straight, and parallel, representing the movement of the glacier using rock fragments and sand grains, embedded in the base of the glacier, as cutting tools. Large amounts of coarse gravel and boulders carried along underneath the glacier provide the abrasive power to cut trough-like glacial grooves, and finer sediments also in the base of the moving glacier further scour and polish the bedrock surface, forming a glacial pavement.","Label: GLACIAL STRIATION
Definition: Scratches or gouges cut into bedrock by glacial abrasion. Glacial striations are usually multiple, straight, and parallel, representing the movement of the glacier using rock fragments and sand grains, embedded in the base of the glacier, as cutting tools. Large amounts of coarse gravel and boulders carried along underneath the glacier provide the abrasive power to cut trough-like glacial grooves, and finer sediments also in the base of the moving glacier further scour and polish the bedrock surface, forming a glacial pavement."
MACROFOSSILS,Macrofossils are fossils large enough to be studied without the aid of a microscope. Macrofossils can indicate the range of plant or animal species in the past.,"Label: MACROFOSSILS
Definition: Macrofossils are fossils large enough to be studied without the aid of a microscope. Macrofossils can indicate the range of plant or animal species in the past."
PALEOMAGNETIC DATA,Paleomagnetism is the study of natural remnant magnetization of the Earth's materials in order to determine the itensity and direction of the Earth's magnetic field in the geologic past. Variations in the Earth's magnetic field can be used as a means of stratigraphic correlation. Major reversals of the Earth's magnetic field are well known and the record of these reversals in sediments can be used as time markers or chronostratigraphic horizons.,"Label: PALEOMAGNETIC DATA
Definition: Paleomagnetism is the study of natural remnant magnetization of the Earth's materials in order to determine the itensity and direction of the Earth's magnetic field in the geologic past. Variations in the Earth's magnetic field can be used as a means of stratigraphic correlation. Major reversals of the Earth's magnetic field are well known and the record of these reversals in sediments can be used as time markers or chronostratigraphic horizons."
LAKE LEVELS,"Lake level fluctuations can provide important evidence for paleoclimatic conditions, particulary in arid and semiarid areas. Lake levels are particularly sensitive to changes in hydrologic balance due to climatic fluctuations. Lakes may develop and expand if there is an abundance of precipitation and will recede and even dry up (due to evaporation) during prolonged droughts. Lake sediment cores are often drilled to provide stratigraphic clues to past climate conditions.","Label: LAKE LEVELS
Definition: Lake level fluctuations can provide important evidence for paleoclimatic conditions, particulary in arid and semiarid areas. Lake levels are particularly sensitive to changes in hydrologic balance due to climatic fluctuations. Lakes may develop and expand if there is an abundance of precipitation and will recede and even dry up (due to evaporation) during prolonged droughts. Lake sediment cores are often drilled to provide stratigraphic clues to past climate conditions."
CORAL DEPOSITS,"Corals are generally members of the order Scleractinia, which have hard calcerous skeletons supporting softer tissues. For paleoclimatic studies, the important coral subgroup is the reef-building, massive corals known as hermatypic corals. Coral growth rates vary and are sensitive to sea surface temperatures (SSTs). Dating coral growth has shown high correspondence between large excursions of oxygen-18 (del18O) and El Nino Southern Oscillation (ENSO) events. Coral growth studies have led to new information about paleo-SSTs, rainfall, river runoff, ocean circulation, and tropical wind systems.","Label: CORAL DEPOSITS
Definition: Corals are generally members of the order Scleractinia, which have hard calcerous skeletons supporting softer tissues. For paleoclimatic studies, the important coral subgroup is the reef-building, massive corals known as hermatypic corals. Coral growth rates vary and are sensitive to sea surface temperatures (SSTs). Dating coral growth has shown high correspondence between large excursions of oxygen-18 (del18O) and El Nino Southern Oscillation (ENSO) events. Coral growth studies have led to new information about paleo-SSTs, rainfall, river runoff, ocean circulation, and tropical wind systems."
FRESH WATER RIVER DISCHARGE,"discharge is the volume rate of water flow, including any suspended solids (i.e. sediment), dissolved chemical species (i.e. CaCO3(aq)) and/or biologic material (i.e. diatoms), which is transported through a given cross-sectional area.","Label: FRESH WATER RIVER DISCHARGE
Definition: discharge is the volume rate of water flow, including any suspended solids (i.e. sediment), dissolved chemical species (i.e. CaCO3(aq)) and/or biologic material (i.e. diatoms), which is transported through a given cross-sectional area."
SURFACE WINDS,The wind measured at a surface observing station.,"Label: SURFACE WINDS
Definition: The wind measured at a surface observing station."
U/V WIND COMPONENTS,Zonal (U) and Meridional (V) wind velocity.,"Label: U/V WIND COMPONENTS
Definition: Zonal (U) and Meridional (V) wind velocity."
WIND SPEED TENDENCY,The character and amount of atmospheric wind speed change for a three-hour or other specified period ending at the time of observation.,"Label: WIND SPEED TENDENCY
Definition: The character and amount of atmospheric wind speed change for a three-hour or other specified period ending at the time of observation."
STORM RELATIVE WINDS,"(Winds) measured relative to a moving thunderstorm, usually referring to winds, wind shear, or helicity.","Label: STORM RELATIVE WINDS
Definition: (Winds) measured relative to a moving thunderstorm, usually referring to winds, wind shear, or helicity."
HOGS/PIGS,"Phylum Chordata. Class Mammalia. Order Artiodactyla. Family Suidae are omnivores, even toed-ungulates with a large head and a long strengthened snout. Hog is a common name for domestic pig weighing more than 120lbs.","Label: HOGS/PIGS
Definition: Phylum Chordata. Class Mammalia. Order Artiodactyla. Family Suidae are omnivores, even toed-ungulates with a large head and a long strengthened snout. Hog is a common name for domestic pig weighing more than 120lbs."
EVEN-TOED UNGULATES,Phylum Chordata. Class Mammalia. Order Artiodactyla. Hoofed animals whose weight is evenly distributed by the third and fourth toes,"Label: EVEN-TOED UNGULATES
Definition: Phylum Chordata. Class Mammalia. Order Artiodactyla. Hoofed animals whose weight is evenly distributed by the third and fourth toes"
ICE SHEETS,"A continuous sheet of land ice that covers a very large area and moves outward
in many directions. 
This type of ice mass is so thick as to mask the land surface contours, in
contrast to the smaller and thinner highland ice. The continental glacier of
Greenland is sometimes called the Inland Ice. This term is often used to
describe the great ice masses that characterized the ice ages.","Label: ICE SHEETS
Definition: A continuous sheet of land ice that covers a very large area and moves outward
in many directions. 
This type of ice mass is so thick as to mask the land surface contours, in
contrast to the smaller and thinner highland ice. The continental glacier of
Greenland is sometimes called the Inland Ice. This term is often used to
describe the great ice masses that characterized the ice ages."
ICE SHEET MEASUREMENTS,"Scientists have adopted three general approaches to ice sheet mass balance measurement: comparing outflow and melt to snowfall accumulation (the mass budget method), observing changes in glacier elevation (volume change or geodetic method), and detecting changes in the Earth’s gravity field over the ice sheet (gravimetric method).","Label: ICE SHEET MEASUREMENTS
Definition: Scientists have adopted three general approaches to ice sheet mass balance measurement: comparing outflow and melt to snowfall accumulation (the mass budget method), observing changes in glacier elevation (volume change or geodetic method), and detecting changes in the Earth’s gravity field over the ice sheet (gravimetric method)."
CHLOROPHYLL CONCENTRATION,"The concentration of chlorophyll is a proxy for the number of photosynthetic plankton, or phytoplankton, present in the ocean. Phytoplankton populations are influenced by climatic factors such as sea surface temperatures and winds.","Label: CHLOROPHYLL CONCENTRATION
Definition: The concentration of chlorophyll is a proxy for the number of photosynthetic plankton, or phytoplankton, present in the ocean. Phytoplankton populations are influenced by climatic factors such as sea surface temperatures and winds."
CONVECTION,The circulatory vertical motion in a fluid medium (ocean water) owing tothe variation of its density and the action of gravity.,"Label: CONVECTION
Definition: The circulatory vertical motion in a fluid medium (ocean water) owing tothe variation of its density and the action of gravity."
24 HOUR PRECIPITATION AMOUNT,The amount of precipitation collected and measured at a weather observing site during a 24 hour period.,"Label: 24 HOUR PRECIPITATION AMOUNT
Definition: The amount of precipitation collected and measured at a weather observing site during a 24 hour period."
PACIFIC/NORTH AMERICAN (PNA) PATTERN,"The PNA pattern is one of the most prominent modes of low-frequency
variability in the Northern Hemisphere extratropics, appearing in all
months except June and July. The PNA pattern reflects a quadripole
pattern of height anomalies, with anomalies of similar sign located
south of the Aleutian Islands and over the southeastern United
States. Anomalies with sign opposite to the Aleutian center are
located in the vicinity of Hawaii, and over the intermountain region
of North America (central Canada) during the Winter and Fall (Spring).","Label: PACIFIC/NORTH AMERICAN (PNA) PATTERN
Definition: The PNA pattern is one of the most prominent modes of low-frequency
variability in the Northern Hemisphere extratropics, appearing in all
months except June and July. The PNA pattern reflects a quadripole
pattern of height anomalies, with anomalies of similar sign located
south of the Aleutian Islands and over the southeastern United
States. Anomalies with sign opposite to the Aleutian center are
located in the vicinity of Hawaii, and over the intermountain region
of North America (central Canada) during the Winter and Fall (Spring)."
ESTUARIES,"Estuaries form a transition zone between river environments and ocean environments and are subject to both marine influences, such as tides, waves, and the influx of saline water; and riverine influences, such as flows of fresh water and sediment. The inflow of both seawater and freshwater provide high levels of nutrients in both the water column and sediment, making estuaries among the most productive natural habitats in the world","Label: ESTUARIES
Definition: Estuaries form a transition zone between river environments and ocean environments and are subject to both marine influences, such as tides, waves, and the influx of saline water; and riverine influences, such as flows of fresh water and sediment. The inflow of both seawater and freshwater provide high levels of nutrients in both the water column and sediment, making estuaries among the most productive natural habitats in the world"
FRINGING REEF,One of the three main types of coral reefs recognized by most coral reef scientists. It is distinguished from the other two main types (barrier reefs and atolls) in that has either an entirely shallow backreef zone (lagoon) or none at all.,"Label: FRINGING REEF
Definition: One of the three main types of coral reefs recognized by most coral reef scientists. It is distinguished from the other two main types (barrier reefs and atolls) in that has either an entirely shallow backreef zone (lagoon) or none at all."
STRATOCUMULUS LENTICULARIS,"(Or lenticular cloud.) A cloud species the elements of which have the form of more or less isolated, generally smooth lenses or almonds; the outlines are sharp and sometimes show irisation.These clouds appear most often in formations of orographic origin, the result of lee waves, in which cases they remain nearly stationary with respect to the terrain (standing cloud), but they also occur in regions without marked orography. This species is found mainly in the genera cirrocumulus, altocumulus, and (rarely) stratocumulus. Altocumulus lenticularis differs from cirrocumulus lenticularis in that, when smooth and without elements, it has shadowed parts while the latter is very white throughout. When undulated or subdivided, the altocumulus species differs from stratocumulus lenticularis in that its elements subtend an angle of less than 5° when viewed at an angle of more than 30° above the horizon.","Label: STRATOCUMULUS LENTICULARIS
Definition: (Or lenticular cloud.) A cloud species the elements of which have the form of more or less isolated, generally smooth lenses or almonds; the outlines are sharp and sometimes show irisation.These clouds appear most often in formations of orographic origin, the result of lee waves, in which cases they remain nearly stationary with respect to the terrain (standing cloud), but they also occur in regions without marked orography. This species is found mainly in the genera cirrocumulus, altocumulus, and (rarely) stratocumulus. Altocumulus lenticularis differs from cirrocumulus lenticularis in that, when smooth and without elements, it has shadowed parts while the latter is very white throughout. When undulated or subdivided, the altocumulus species differs from stratocumulus lenticularis in that its elements subtend an angle of less than 5° when viewed at an angle of more than 30° above the horizon."
SUBALPINE,Pertaining to high upland slopes and especially the zone just below the timberline.,"Label: SUBALPINE
Definition: Pertaining to high upland slopes and especially the zone just below the timberline."
ALPINE/TUNDRA,"Habitat found in the zone on mountain tops between permanent snow and the cold limits of trees, or in arctic regions, characterized by very low winter temperatures, short cool summers, permafrost below a surface layer subject to summer melt, short growing season, and low precipitation.","Label: ALPINE/TUNDRA
Definition: Habitat found in the zone on mountain tops between permanent snow and the cold limits of trees, or in arctic regions, characterized by very low winter temperatures, short cool summers, permafrost below a surface layer subject to summer melt, short growing season, and low precipitation."
SOLAR RADIATION MANAGEMENT,"Solar Radiation Management (SRM) refers to the intentional modification of the Earth’s shortwave radiative budget with the aim to reduce climate change according to a given metric (e.g., surface temperature, precipitation, regional impacts, etc).","Label: SOLAR RADIATION MANAGEMENT
Definition: Solar Radiation Management (SRM) refers to the intentional modification of the Earth’s shortwave radiative budget with the aim to reduce climate change according to a given metric (e.g., surface temperature, precipitation, regional impacts, etc)."
GEOENGINEERING,"Geoengineering refers to a broad set of methods and technologies that aim to deliberately alter the climate system in order to alleviate the impacts of climate change. Most, but not all, methods seek to either (a) reduce the amount of absorbed solar energy in the climate system (Solar Radiation Management) or (b) increase net carbon sinks from the atmosphere at a scale sufficiently large to alter climate (Carbon Dioxide Removal). Scale and intent are of central importance. Two key characteristics of geoengineering methods of particular concern are that they use or affect the climate system (e.g., atmosphere, land, or ocean) globally or regionally and/or could have substantive unintended effects that cross national boundaries. Geoengineering is different from weather modification and ecological engineering, but the boundary can be fuzzy.","Label: GEOENGINEERING
Definition: Geoengineering refers to a broad set of methods and technologies that aim to deliberately alter the climate system in order to alleviate the impacts of climate change. Most, but not all, methods seek to either (a) reduce the amount of absorbed solar energy in the climate system (Solar Radiation Management) or (b) increase net carbon sinks from the atmosphere at a scale sufficiently large to alter climate (Carbon Dioxide Removal). Scale and intent are of central importance. Two key characteristics of geoengineering methods of particular concern are that they use or affect the climate system (e.g., atmosphere, land, or ocean) globally or regionally and/or could have substantive unintended effects that cross national boundaries. Geoengineering is different from weather modification and ecological engineering, but the boundary can be fuzzy."
NUTRIENT PROFILES,"Vertical profiles of nutrients in the ocean, such as nitrogen and phosphate.","Label: NUTRIENT PROFILES
Definition: Vertical profiles of nutrients in the ocean, such as nitrogen and phosphate."
DROUGHT FREQUENCY,"Drought frequency refers to the number of drought events that occur within a specified period of time. Drought frequency, duration, and severity are often used together as a means to describe and evaluate drought conditions in a given area (i.e., how often an area is affected by drought, how long is it affected, and how severely it is affected).","Label: DROUGHT FREQUENCY
Definition: Drought frequency refers to the number of drought events that occur within a specified period of time. Drought frequency, duration, and severity are often used together as a means to describe and evaluate drought conditions in a given area (i.e., how often an area is affected by drought, how long is it affected, and how severely it is affected)."
DROUGHTS,A period of abnormally dry weather sufficiently long enough to cause a serious hydrological imbalance.,"Label: DROUGHTS
Definition: A period of abnormally dry weather sufficiently long enough to cause a serious hydrological imbalance."
ISOSTATIC ADJUSTMENTS,"The rise of land masses that were depressed by the huge weight of ice sheets during the last glacial period, through a process known as isostasy.","Label: ISOSTATIC ADJUSTMENTS
Definition: The rise of land masses that were depressed by the huge weight of ice sheets during the last glacial period, through a process known as isostasy."
LAKE EFFECT SNOW,Snowstorm occurring near or downwind from the shore of a lake resulting from the warming (destabilization) and moistening of relatively cold air during passage over a warm body of water.,"Label: LAKE EFFECT SNOW
Definition: Snowstorm occurring near or downwind from the shore of a lake resulting from the warming (destabilization) and moistening of relatively cold air during passage over a warm body of water."
CARBON FOOTPRINT,"Measure of the exclusive total amount of emissions of carbon dioxide(CO2) that is directly and indirectly caused by an activity or is accumulated over the life stages of a product. This term is often used in reference to greenhouse gas emissions attributable to persons,industries, or countries.","Label: CARBON FOOTPRINT
Definition: Measure of the exclusive total amount of emissions of carbon dioxide(CO2) that is directly and indirectly caused by an activity or is accumulated over the life stages of a product. This term is often used in reference to greenhouse gas emissions attributable to persons,industries, or countries."
FREEZING DRIZZLE,Drizzle that falls in liquid form but freezes upon impact to form a coating of glaze.,"Label: FREEZING DRIZZLE
Definition: Drizzle that falls in liquid form but freezes upon impact to form a coating of glaze."
EXTRATROPICAL CYCLONE FREQUENCY,Number of extratropical cyclones per unit time.,"Label: EXTRATROPICAL CYCLONE FREQUENCY
Definition: Number of extratropical cyclones per unit time."
DROUGHTS,A period of dry weather: a long period of extremely dry weather when there is not enough rain for the successful growing of crops or the replenishment of water supplies.,"Label: DROUGHTS
Definition: A period of dry weather: a long period of extremely dry weather when there is not enough rain for the successful growing of crops or the replenishment of water supplies."
ICE MOTION,Defined as the horizontal displacement of ice over an area.,"Label: ICE MOTION
Definition: Defined as the horizontal displacement of ice over an area."
TEMPERATURE VARIABILITY,The temperature range occurring within a short time span at a given location.,"Label: TEMPERATURE VARIABILITY
Definition: The temperature range occurring within a short time span at a given location."
HIGHER MAXIMUM DAYTIME TEMPERATURES,Refers to the highest daytime temperature reported for a given location during a given period.,"Label: HIGHER MAXIMUM DAYTIME TEMPERATURES
Definition: Refers to the highest daytime temperature reported for a given location during a given period."
OX-BOW LAKE,A u-shaped body of water formed when a wide meander from the main stem of a river is cut off to create a lake.,"Label: OX-BOW LAKE
Definition: A u-shaped body of water formed when a wide meander from the main stem of a river is cut off to create a lake."
POLYNYAS,"Any non-linear shaped opening enclosed by ice. May contain brash ice and/orbe covered with new ice, nilas or young ice; sub-mariners refer to theseas skylights. Polynyas are important in the study of the energy budget ofthe polar ocean and local and regional climatology.","Label: POLYNYAS
Definition: Any non-linear shaped opening enclosed by ice. May contain brash ice and/orbe covered with new ice, nilas or young ice; sub-mariners refer to theseas skylights. Polynyas are important in the study of the energy budget ofthe polar ocean and local and regional climatology."
DROUGHT SEVERITY,"Drought severity is a relative term that broadly refers to how intense a drought is considered to be. Drought severity can be measured through any number of physical indicators, such as rainfall or streamflow, but it can also be assessed through impacts to other interdependent systems given that drought affects water supply,agriculture, wildfire, and more. Drought frequency, duration, and severity are often used together as a means to describe and evaluate drought conditions in a given area (i.e., how often an area is affected bydrought, how long is it affected, and how severely it is affected).","Label: DROUGHT SEVERITY
Definition: Drought severity is a relative term that broadly refers to how intense a drought is considered to be. Drought severity can be measured through any number of physical indicators, such as rainfall or streamflow, but it can also be assessed through impacts to other interdependent systems given that drought affects water supply,agriculture, wildfire, and more. Drought frequency, duration, and severity are often used together as a means to describe and evaluate drought conditions in a given area (i.e., how often an area is affected bydrought, how long is it affected, and how severely it is affected)."
FOLDS,"A geological fold occurs when one or a stack of originally flat and planar surfaces, such as sedimentary strata, are bent or curved as a result of permanent deformation.","Label: FOLDS
Definition: A geological fold occurs when one or a stack of originally flat and planar surfaces, such as sedimentary strata, are bent or curved as a result of permanent deformation."
SURFACE SALINITY,A measure of the dissolved solids in seawater.,"Label: SURFACE SALINITY
Definition: A measure of the dissolved solids in seawater."
CLOUD INDICATORS,Information about condition of clouds.,"Label: CLOUD INDICATORS
Definition: Information about condition of clouds."
PRECIPITATION INDICATORS,Information about the conditions of precipitation.,"Label: PRECIPITATION INDICATORS
Definition: Information about the conditions of precipitation."
PRECIPITATION INDICES,Rainfall indices are calculated from precipitation data for a specific region over time.,"Label: PRECIPITATION INDICES
Definition: Rainfall indices are calculated from precipitation data for a specific region over time."
SEA LEVEL RISE,An increase in the average height of the sea surface over a vertical datum.,"Label: SEA LEVEL RISE
Definition: An increase in the average height of the sea surface over a vertical datum."
COMPOUND EXTREME EVENTS,The simultaneous or sequential occurrence of multiple extremes at single or multiple locations.,"Label: COMPOUND EXTREME EVENTS
Definition: The simultaneous or sequential occurrence of multiple extremes at single or multiple locations."
OCEAN UPWELLING/DOWNWELLING,The upward motion of seawater anywhere in the oceans.,"Label: OCEAN UPWELLING/DOWNWELLING
Definition: The upward motion of seawater anywhere in the oceans."
OCEAN UPWELLING INDICES,Indices that leverage state-of-the-art ocean models as well as satellite and in situ data to improve upon historically available upwelling indices. Upwelling drives the biological productivity of the system by bringing nutrients to surface waters.,"Label: OCEAN UPWELLING INDICES
Definition: Indices that leverage state-of-the-art ocean models as well as satellite and in situ data to improve upon historically available upwelling indices. Upwelling drives the biological productivity of the system by bringing nutrients to surface waters."
FIRE MANAGEMENT,"Involves the management of wildland fires to restore and maintain the health of ecosystems. Fires are managed through a variety of methods that include prevention, suppression, managing wildfire for resource benefits, prescribed fires, and mechanical treatment of hazardous fuels.","Label: FIRE MANAGEMENT
Definition: Involves the management of wildland fires to restore and maintain the health of ecosystems. Fires are managed through a variety of methods that include prevention, suppression, managing wildfire for resource benefits, prescribed fires, and mechanical treatment of hazardous fuels."
TREE RINGS,"Tree Rings, also known as annual rings or growth rings, are a sheath ofcells appearing as one of a series of concentric rings in thecross-section of a woody stem.  Each ring is usually the result of asingle yearly growth flush starting in spring and ceasing in late summer.","Label: TREE RINGS
Definition: Tree Rings, also known as annual rings or growth rings, are a sheath ofcells appearing as one of a series of concentric rings in thecross-section of a woody stem.  Each ring is usually the result of asingle yearly growth flush starting in spring and ceasing in late summer."
TREE RINGS,"Pertaining to the measurement and analysis of ancient tree rings todetermine environmental conditions during that tree's lifetime andextrapolate that to climatic conditions. The study of tree rings related topast climate conditions is called dendroclimatology. Variations in tree ringwidths from year to year are recognized as an important source of chronologicaland climatic information. The width of a tree ring is a function of manyvariables including tree species, age, availability of stored food within thetree, soil nutrients, and climatic factors such as precipitation, sunshinetemperature, winds and humidity.","Label: TREE RINGS
Definition: Pertaining to the measurement and analysis of ancient tree rings todetermine environmental conditions during that tree's lifetime andextrapolate that to climatic conditions. The study of tree rings related topast climate conditions is called dendroclimatology. Variations in tree ringwidths from year to year are recognized as an important source of chronologicaland climatic information. The width of a tree ring is a function of manyvariables including tree species, age, availability of stored food within thetree, soil nutrients, and climatic factors such as precipitation, sunshinetemperature, winds and humidity."
ESTUARINE WETLANDS,Areas of marsh grasses and reeds along coasts and estuaries where the groundis covered by high tides but drained at low tide.,"Label: ESTUARINE WETLANDS
Definition: Areas of marsh grasses and reeds along coasts and estuaries where the groundis covered by high tides but drained at low tide."
WETLANDS,Wetlands is a term for a broad group of wet habitats.  They are transitional lands between terrestrial and aquatic ecosystems where the lands may be permanently or intermittently water covered.,"Label: WETLANDS
Definition: Wetlands is a term for a broad group of wet habitats.  They are transitional lands between terrestrial and aquatic ecosystems where the lands may be permanently or intermittently water covered."
ESTUARINE WETLANDS,Areas of marsh grasses and reeds along coasts and estuaries where the ground is covered by high tides but drained at low tide.,"Label: ESTUARINE WETLANDS
Definition: Areas of marsh grasses and reeds along coasts and estuaries where the ground is covered by high tides but drained at low tide."
SIGMA NAUGHT,"The conventional measure of the strength of radar signals reflected by a distributed scatterer, usually expressed in dB. It is a normalized dimensionless number, comparing the strength observed to that expected from an area of one square meter. Sigma naught is defined with respect to the nominally horizontal plane, and in general has a significant variation with incidence angle, wavelength, and polarization, as well as with properties of the scattering surface itself (see speckle, and statistics).","Label: SIGMA NAUGHT
Definition: The conventional measure of the strength of radar signals reflected by a distributed scatterer, usually expressed in dB. It is a normalized dimensionless number, comparing the strength observed to that expected from an area of one square meter. Sigma naught is defined with respect to the nominally horizontal plane, and in general has a significant variation with incidence angle, wavelength, and polarization, as well as with properties of the scattering surface itself (see speckle, and statistics)."
